ID;Title;Singer,,,
140;Sedingin Salju;Evie Tamala,,,
141;Duka;Evie Tamala,,,
142;Nyanyian Rindu;Evie Tamala,,,
143;Sebuah Janji;Evie Tamala,,,
144;Janji;Evie Tamala,,,
145;Untung Aku Ngaca;Mansyur S.,,,
146;Sengsara;Mansyur S.,,,
147;Putus Putus Lagi;Mansyur S.,,,
148;Sampai Hati;Mansyur S.,,,
149;Anak Siapa;Mansyur S.,,,
150;Sampai Kapankah;Elvy Sukaesih,,,
151;Termenung;Elvy Sukaesih,,,
152;Bisikan Kasih;Elvy Sukaesih,,,
153;Sebatas Angan;Elvy Sukaesih,,,
154;Satu Yang Tak Bisa Lepas;Reza,,,
156;Kau;Nicky Astria,,,
157;Terserah Kasih;Lisa A. Riyanto,,,
158;Pasangan Jiwa;Katon Bagaskara,,,
159;Patah Jadi Dua;Alda,,,
160;Miliki Diriku;Memes,,,
161;Telah Terbiasa;Rita Effendy,,,
162;Cinta Putih;Katon Bagaskara,,,
163;Kata Hati;Connie Constantia,,,
164;Mencari Cinta;Achmad Albar,,,
165;Mengapa Berpatah Arang;Lady Avisha / Deddy Dores,,,
166;Gubuk Bambu;Meggi Z,,,
167;Susah Hati;Meggi Z,,,
168;Melati;Meggi Z,,,
169;Engkau Ke Kiri Aku Ke Kanan;Meggi Z,,,
170;Penghinaan;Meggi Z,,,
171;Lupa Diri;Meggi Z,,,
172;Orang Yang Terbuang;Meggi Z,,,
173;Tinggal Sisa;Meggy Z,,,
174;Sebelum Kau Pergi;Grace Simon,,,
175;Titik Noda;Rudiath RB,,,
176;Nona Anna;Ade Manuhutu,,,
177;Cintaku Suci;Rudiath RB,,,
178;Carilah Kawan Lain;.,,,
179;Do'a;.,,,
180;Terminal;Franky.S,,,
181;Menangis;Franky.S,,,
182;Merah Putih Dan Reruntuhan;Franky.S,,,
183;Lelaki Dan Rembulan;Franky.S,,,
184;Di Ladang Bunga;Franky.S,,,
185;Jangan Jangan;Dot,,,
186;Sampai Nanti;Kahitna,,,
187;Janji;Bragi,,,
188;Damai;Wayang,,,
189;Cinta Kamu;Bias,,,
190;Jatuh Cinta;Base Jam,,,
191;Padang Bulan;Ikke Nurjanah,,,
192;Sun Sing Suwe;Ikke Nurjanah,,,
193;Merpati Putih;Ikke Nurjanah,,,
194;Cinta Dan Dilema;Ikke Nurjanah,,,
195;Birunya Rindu;Ikke Nurjanah,,,
196;Nomor Satu;Ikke Nurjanah,,,
197;Gelang Alit;Ikke Nurjanah,,,
198;Cambuk Derita;Ikke Nurjanah,,,
199;Mustika;Titik Sandora,,,
200;Semalam Di Malaysia;D'Lloyd,,,
201;Boneka Dari India;Titik Sandora,,,
202;Pilu;D'Lloyd,,,
203;Cubit - Cubitan;Elvie Sukaesih,,,
204;Sama Jahatnya;Atty David,,,
205;Cinta Hampa;Titik Sandora,,,
206;Dunia Milik Kita Berdua;Titik Sandor & Muchsin Alatas,,,
207;Tujuh Sumur;Elvie Sukaesih,,,
208;Perawan Dan Bujang;Anti La Ricci,,,
209;Insyaf;Muchsin Alatas,,,
210;Masing - Masing Saja;Puri Rahayu,,,
211;Sorga Atau Neraka;Hetty Sunjaya,,,
212;Purnama;Rhoma Irama,,,
213;Tungkeripit;Noer Halimah,,,
214;Malam Minggu;Noer Halimah,,,
215;Rupiah;Noer Halimah,,,
216;Dangdut (Terajana);Noer Halimah,,,
217;Sifana;Rhoma Irama,,,
218;Gelandangan;Noer Halimah,,,
219;Terserah Kita;Rhoma Irama,,,
220;Patah Hati;Noer Halimah,,,
221;Stop;Rhoma Irama,,,
222;Tanda Cinta;Iis Dahlia,,,
223;Stress;Rhoma Irama,,,
224;Ratapan Anak Tiri;Iis Dahlia,,,
225;Sakit Hati;Meggi.Z,,,
226;Gerimis Mengundang;Iis / AAS Ariska,,,
227;Cinta Bukanlah Kapal;Iis Dahlia,,,
228;Senyum Membawa Luka;Meggi.Z,,,
229;Judi;Rhoma Irama,,,
230;Air Mata Tiada Arti;Iis Dahlia,,,
231;Racun Asmara;Iis Ariska,,,
232;Bunga Dahlia;Ikke Nurjanah,,,
233;Tak Tercapai;Ikke Nurjanah,,,
234;Pengalaman Cinta;Ikke Nurjanah,,,
235;Khayalan Masa Lalu;Ikke Nurjanah,,,
236;Ingin Kukatakan;Ikke Nurjanah,,,
237;Suara Hati;Ikke Nurjanah,,,
238;Rela Rela;Ikke Nurjanah,,,
239;Apa Salahku;Ikke Nurjanah,,,
240;Cinta Berbuah Duka;Ikke Nurjanah,,,
241;Aib;Ikke Nurjanah,,,
242;Hebat Sekali;Ikke Nurjanah,,,
243;Jangan Tutup Dirimu;Stinky,,,
244;Mungkinkah;Stinky,,,
245;Cinta Suci;Stinky,,,
246;Tiada Lagi;Stinky,,,
247;Satu Dan Abadi;Stinky,,,
248;Pesonamu;Stinky,,,
249;Seandainya;Stinky,,,
250;Kaulah Yang Pertama;Stinky,,,
251;Ku Ingin;Stinky,,,
252;Wow  Yeah;Stinky,,,
253;Benang Biru;Meggi Z,,,
254;Gula Gula;Elvie Sukaesih,,,
255;Bisik Bisik Tetangga;Elvie Sukaesih,,,
256;Senyum Membawa Luka;Meggi Z,,,
257;Sumpah Benang Emas;Elvie Sukaesih,,,
258;Pengertian;Ellya Khadam,,,
259;Jeritan Hati;Meggi.Z,,,
260;Hati Yang Merana;Ellya Khadam,,,
261;Pengorbanan;Rhoma Irama,,,
262;Mataku Buta;Ellya Khadam,,,
263;Stop;Rhoma Irama,,,
264;Berpisah;Ellya Khadam,,,
265;Jarum Neraka;Nicky Astria,,,
266;Mata Lelaki;Nicky Astria,,,
267;Cinta Di Kota Tua;Nicky Astria,,,
268;Misteri Cinta;Nicky Astria,,,
269;Gersang;Nicky Astria,,,
270;Biar Semua Hilang;Nicky Astria,,,
271;Uang;Nicky Astria,,,
272;Bias Sinar;Nicky Astria,,,
273;Tangan Tangan Setan;Nicky Astria,,,
274;Suka;Nicky Astria,,,
275;Sendiri;Ermy Kullit,,,
276;Bujangan;Junior / Koes Plus,,,
278;Siapa Sangka;Ermy Kullit,,,
279;Widuri;Sarwana,,,
280;Pesonamu;Amira,,,
281;Buat Apa Susah;Junior / Koes Plus,,,
282;Sepanjang Jalan Ini;Retno,,,
283;Satukanlah Hati Kami;Poppy Mercury,,,
284;Surat Undangan;Poppy Mercury,,,
285;Terlambat Sudah;Poppy Mercury,,,
286;Tak Mungkin Dipisahkan;Poppy Mercury,,,
287;Terlalu Pagi;Poppy Mercury,,,
288;Nyidam Sari;Manthou's,,,
289;Yen Ing Tawang;Manthou's,,,
290;Ojo Lamis;Manthou's,,,
291;Loro Bronto;Sunyahni,,,
292;Tahu Opo Tempe;Manthou's & Minul,,,
293;Kangen;Sunyahni,,,
294;Ojo Cidro;Sunyahni,,,
295;Potretmu;Sunyahni,,,
296;Tetesing Waspa;Sunyahni,,,
297;Walang Kekek;Sunyahni,,,
298;Setya Tuhu;Manthou's & Sunyahni,,,
299;Tak Eling Eling;Manthou's,,,
300;Berpisah Di St. Caralus;Rani,,,
301;Kasih Tak Sampai;Rani,,,
302;Semua Bisa Bilang;Rani,,,
303;Teratai Putih;Rani,,,
304;Gang Kelinci;Rani,,,
305;Yang Di Tinggalkan;Rani,,,
306;Selendang Merah;Rani,,,
307;Gembala Sapi;Rani,,,
308;Kasih Pertama;Rani,,,
309;Ku Kenang Selalu;Rani,,,
310;Si Hitam;Rani,,,
311;Lg. Putra Nuswantoro;Manthou's,,,
312;Lg. Panjer Rino;Wiwied Sp.,,,
313;Ojo Gawe Gawe;Titiek N / S. Hardjono,,,
314;Piye Janjine;Minul,,,
315;Bowo Nyidam Sari;Manthou's,,,
316;Gunung Kidul Handayani;Minul,,,
317;Ojo Sembrono;Wiwied Sp. & Manthou's,,,
318;Kripik Telo Pohong;Minul,,,
319;Pripun;Wiwied Sp,,,
